id,created_at,source,original_text,clean_text,sentiment,polarity,subjectivity,lang,favorite_count,retweet_count,original_author,possibly_sensitive,hashtags,user_mentions,place,place_coord_boundaries
1224211218652680197,Mon Feb 03 06:01:13 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Bad news. What needs to be done @patriciamunabi eg 1.All girls must stay in school until they are 18yrs. 2.Washroom… https://t.co/heQn5kdhlT,Bad news What 1.All girls stay school 18yrs 2.Washroom…,"Sentiment(polarity=-0.6999999999999998, subjectivity=0.6666666666666666)",-0.6999999999999998,0.6666666666666666,en,0,1,KigoziMaggie,False,,patriciamunabi,"Kampala, Uganda",
1224210969540419586,Mon Feb 03 06:00:14 +0000 2020,"<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>",This #SexualViolenceAwarenessWeek please help us raise awareness of #rape &amp; #sexual violence against women. It’s no… https://t.co/qAF3FexRiV,This raise awareness amp violence women It ’ s no…,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,en,24,20,CambRapeCrisis,False,"SexualViolenceAwarenessWeek, rape, sexual",,Cambridge,
1224210910274703360,Mon Feb 03 06:00:00 +0000 2020,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",#BRAZIL: 4 girls under the age of 13 are raped every hour https://t.co/dtikJNUrNc #VAW #Rape #SexualAssault #RapeCulture,4 girls age 13 raped hour,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,en,1,2,PixelProject,False,"BRAZIL, VAW, Rape, SexualAssault, RapeCulture",,We are global!,
1224210474344046594,Mon Feb 03 05:58:16 +0000 2020,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",RT @GodivaRides: @piersmorgan @2tweetaboutit @BorisJohnson @piersmorgan why weren't you on @theresa_may about this issue or #TommyRobinson…,n't issue …,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,en,0,4,MorvilleHugh,,TommyRobinson,"GodivaRides, piersmorgan, 2tweetaboutit, BorisJohnson, piersmorgan, theresa_may",,
1224209230296645632,Mon Feb 03 05:53:19 +0000 2020,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Sick of everyone defending sports ""heroes"" who #rape people and continue to celebrate them as if it's totally okay.
#fucksociety",Sick defending sports `` heroes '' people continue celebrate 's totally,"Sentiment(polarity=-0.35714285714285715, subjectivity=0.8035714285714286)",-0.35714285714285715,0.8035714285714286,en,0,0,AllieKnight74,,"rape, fucksociety",,"Gainesville, Fl",
1224207000176943105,Mon Feb 03 05:44:28 +0000 2020,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",RT @GodivaRides: @piersmorgan @2tweetaboutit @BorisJohnson @piersmorgan why weren't you on @theresa_may about this issue or #TommyRobinson…,n't issue …,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,en,0,4,2tweetaboutit,,TommyRobinson,"GodivaRides, piersmorgan, 2tweetaboutit, BorisJohnson, piersmorgan, theresa_may","London, England",
1224206499305512960,Mon Feb 03 05:42:28 +0000 2020,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",@piersmorgan @2tweetaboutit @BorisJohnson @piersmorgan why weren't you on @theresa_may about this issue or… https://t.co/GgX1UuNeSw,n't issue or…,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,en,7,4,GodivaRides,,,"piersmorgan, 2tweetaboutit, BorisJohnson, piersmorgan, theresa_may","REPLACE all 338 #MPs 2019 Status Quo Must Go, Each Vote Counts ESPECIALLY Yours! @GodivaRides for #Canada 🇨🇦 #Patriots",
1224204772720332800,Mon Feb 03 05:35:37 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",RT @qazifarazahmad: Class 10 Dalit Girl Gang-raped by 4 Men From Her Village in UP’s Kasganj #Rape https://t.co/BlsOpZhe2p,Class 10 Dalit Girl Gang-raped 4 Men From Her Village UP ’ s Kasganj,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,en,0,105,sonutiawri,False,Rape,qazifarazahmad,,
1224202291026309120,Mon Feb 03 05:25:45 +0000 2020,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Mobile Web (M2)</a>","When i get an opportunity, I rape it! #rape #money #success  #crypto #forex #stocks #opportunity",When i opportunity I rape,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,en,1,0,Mal_ComeUp,,"rape, money, success, crypto, forex, stocks, opportunity",,"Tokyo, NYC, RSA, Dubai, Harare",
1224201606486548480,Mon Feb 03 05:23:02 +0000 2020,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",In all of this #Metoo  &amp; #KobeBryantDeath has ANYONE Really stopped to consider the “Victim” while bringing up his… https://t.co/8qk6UVyXlf,In amp ANYONE Really stopped “ Victim ” bringing his…,"Sentiment(polarity=0.0625, subjectivity=0.125)",0.0625,0.125,en,0,0,Xpressivemee,,"Metoo, KobeBryantDeath",,United States,
1224197958037577728,Mon Feb 03 05:08:32 +0000 2020,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",@ZazaChilvers @parscale @realDonaldTrump E. jean Carroll #Rape #DNA ?,E. jean Carroll,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,en,1,0,percetion,,"Rape, DNA","ZazaChilvers, parscale, realDonaldTrump",NYC/L.A,
1224195311679102983,Mon Feb 03 04:58:01 +0000 2020,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",I disagree. Rape laws will change when society changes its view of #sexualAssaultSurvivors. #Weinstein #Rape #MeToo… https://t.co/fymA07jMXe,I disagree Rape laws change society view …,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,en,1,0,VeronicaMonet,False,"sexualAssaultSurvivors, Weinstein, Rape, MeToo",,"California, USA",
1224194221705285632,Mon Feb 03 04:53:41 +0000 2020,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",[VIDEO] Family of rape-accused man throws acid on survivor in UP for not withdrawing complaint                What… https://t.co/xsys66mn6I,VIDEO Family rape-accused man throws acid survivor UP withdrawing complaint What…,"Sentiment(polarity=-0.3, subjectivity=0.2)",-0.3,0.2,en,1,1,drballalmanipal,False,,,"Bengaluru, India",
1224193709689802758,Mon Feb 03 04:51:39 +0000 2020,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",#yes.  its so much than using #christian #identity to force an #arranged #marriage with #RAPE #COERCIVE #COMPLICIT… https://t.co/3fzKvwYpO7,force …,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,en,0,0,jonsantos77,True,"yes, christian, identity, arranged, marriage, RAPE, COERCIVE, COMPLICIT",,"New York, NY",
1224188074701123584,Mon Feb 03 04:29:15 +0000 2020,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",RT @PixelProject: #South Africa: #rape crisis (Cape Town) 0214479762,Africa crisis Cape Town 0214479762,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,en,0,2,SaveAslave,,"South, rape",PixelProject,USA,
1224187444637003776,Mon Feb 03 04:26:45 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","#Muslim animals in West Bengal #rape #Hindu #minor girl, kill her and #mutilate her body. https://t.co/1bTO5Ne82F",animals West Bengal girl kill body,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,en,0,0,Thiru_0914,False,"Muslim, rape, Hindu, minor, mutilate",,Bharat,
1224187084845436928,Mon Feb 03 04:25:19 +0000 2020,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",RT @PixelProject: #South Africa: #rape crisis (Cape Town) 0214479762,Africa crisis Cape Town 0214479762,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,en,0,2,HayleyHarajuku,,"South, rape",PixelProject,the world of Harajuku ,
1224187033540796416,Mon Feb 03 04:25:07 +0000 2020,"<a href=""http://www.thepixelproject.net/"" rel=""nofollow""> PixelTweeter</a>",#South Africa: #rape crisis (Cape Town) 0214479762,Africa crisis Cape Town 0214479762,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,en,0,2,PixelProject,,"South, rape",,We are global!,
1224183758468698113,Mon Feb 03 04:12:06 +0000 2020,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","RT @PixelProject: #MONGOLIA: 60% of women who first had sex before age 15 were mainly forced, while 14% did so even though they didn’t want…",60 women sex age 15 forced 14 didn ’ t want…,"Sentiment(polarity=-0.30000000000000004, subjectivity=0.2)",-0.30000000000000004,0.2,en,0,3,CoverMongolia,,MONGOLIA,PixelProject,"Ulaanbaatar, Mongolia",
1224169589816188928,Mon Feb 03 03:15:48 +0000 2020,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","#GeorgePell’s appeal 'glosses over' evidence that supports conviction, #DPP says #pedophile #catholicchurch #rape… https://t.co/CR29FrNt3f",’ s appeal 'glosses evidence supports conviction …,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,en,0,0,MissMishaHeaton,False,"GeorgePell, DPP, pedophile, catholicchurch, rape",,Australia 🔥 Birpai Land,
